#,ACTOR POLÍTICO,SEDE,CARGO,NOMBRE ASPIRANTE,GÉNERO,TWITTER,FACEBOOK
1,Movimiento Ciudadano,CAJEME,PRESIDENTE MUNICIPAL,GUSTAVO IGNACIO ALMADA BORQUEZ,Hombre,@GustavoAlmadaBo,GustavoAlmadaBo
2,Movimiento Ciudadano,GUAYMAS,PRESIDENTE MUNICIPAL,SERGIO CARLOS GARCIA RASCON,Hombre,,sergiocarlosg
3,Movimiento Ciudadano,HERMOSILLO,PRESIDENTE MUNICIPAL,CARLOS ALBERTO LEON GARCIA,Hombre,@charlyleonMC,CharlyLeonMC
4,Movimiento Ciudadano,NAVOJOA,PRESIDENTE MUNICIPAL,ROGELIO ALFREDO ALVAREZ CEVALLOS,Hombre,,RogeAlvarezC
5,Movimiento Ciudadano,NOGALES,PRESIDENTE MUNICIPAL,MARCO ANTONIO VALENZUELA HERRERA,Hombre,,
6,Movimiento Ciudadano,SANLUISRC,PRESIDENTE MUNICIPAL,LUIS HUMBERTO VALTIERRA ARMENTA,Hombre,,
7,Movimiento Alternativo Sonorense,CAJEME,PRESIDENTE MUNICIPAL,MIGUEL ANGEL SALOMON MONTIEL,Hombre,,
8,Movimiento Alternativo Sonorense,GUAYMAS,PRESIDENTE MUNICIPAL,PORFIRIO VILLA BRITO,Hombre,,Regidorporfiriovillabrito
9,Movimiento Alternativo Sonorense,HERMOSILLO,PRESIDENTE MUNICIPAL,JOSE GUADALUPE CURIEL,Hombre,@curielprd,DipJoseCuriel
10,Movimiento Alternativo Sonorense,NAVOJOA,PRESIDENTE MUNICIPAL,FABIOLA SANTOYO ROJAS,Mujer,,
11,Movimiento Alternativo Sonorense,NOGALES,PRESIDENTE MUNICIPAL,FRANCISCO JAVIER MENDIVIL FIGUEROA,Hombre,,
12,Movimiento Alternativo Sonorense,SANLUISRC,PRESIDENTE MUNICIPAL,CLAUDIA XOCHITL MENDEZ BASILIO,Mujer,,
13,Por Sonora al Frente,CAJEME,PRESIDENTE MUNICIPAL,RAFAEL DELGADILLO BARBOSA,Hombre,,RafaelDelgadilloBarbosa
14,Por Sonora al Frente,GUAYMAS,PRESIDENTE MUNICIPAL,LORENZO DE CIMA DWORAK,Hombre,@Lorenzo_de_Cima,LorenzodeCima
15,Por Sonora al Frente,HERMOSILLO,PRESIDENTE MUNICIPAL,MYRNA REA SANCHEZ,Mujer,@myrnarea2018,MyrnaReaDeLopez
16,Por Sonora al Frente,SANLUISRC,PRESIDENTE MUNICIPAL,JOSE EVERARDO LOPEZ CORDOVA,Hombre,@everardolopezc,EverardoLopezC
17,Todos por Sonora,CAJEME,PRESIDENTE MUNICIPAL,EMETERIO OCHOA BAZUA,Hombre,@emeterioochoa,emeterioochoabazua
18,Todos por Sonora,HERMOSILLO,PRESIDENTE MUNICIPAL,ERNESTO DE LUCAS HOPKINS,Hombre,@elpatodelucas,delucas
19,Todos por Sonora,NOGALES,PRESIDENTE MUNICIPAL,JORGE OCTAVIO FREIG CARRILLO,Hombre,,
20,Todos por Sonora,SANLUISRC,PRESIDENTE MUNICIPAL,HECTOR VIRGILIO LEYVA RAMIREZ,Hombre,@titilo78,
21,Juntos Haremos Historia,CAJEME,PRESIDENTE MUNICIPAL,SERGIO PABLO MARISCAL ALVARADO,Hombre,,SergioPabloMariscalA
22,Juntos Haremos Historia,GUAYMAS,PRESIDENTE MUNICIPAL,SARA VALLE DESSENS,Mujer,@saradessens,Saravalleva
23,Juntos Haremos Historia,HERMOSILLO,PRESIDENTE MUNICIPAL,CELIDA TERESA LOPEZ CARDENAS,Mujer,@celidalopezc,celidalopezc
24,Juntos Haremos Historia,NAVOJOA,PRESIDENTE MUNICIPAL,MARIA DEL ROSARIO QUINTERO BORBON,Mujer,,
25,Juntos Haremos Historia,NOGALES,PRESIDENTE MUNICIPAL,JESUS ANTONIO PUJOL IRASTORZA,Hombre,@pujolirastorza,
26,Juntos Haremos Historia,SANLUISRC,PRESIDENTE MUNICIPAL,SANTOS GONZALEZ YESCAS,Hombre,,SantosGonzalezY
27,Candidatura Común - (PRI-NA-PVEM),GUAYMAS,PRESIDENTE MUNICIPAL,LUIS ALEJANDRO BARCENAS SALIDO,Hombre,@gatobarcenas,
28,JOSE RODRIGO ROBINSON BOURS CASTELO,CAJEME,PRESIDENTE MUNICIPAL,JOSE RODRIGO ROBINSON BOURS CASTELO,Hombre,@rboursc,rodrigobourscastelo
29,ERNESTO URIBE CORONA,GUAYMAS,PRESIDENTE MUNICIPAL,ERNESTO URIBE CORONA,Hombre,,
30,MARCO ANTONIO LUNA ESPINDOLA,SANLUISRC,PRESIDENTE MUNICIPAL,MARCO ANTONIO LUNA ESPINDOLA,Hombre,,
31,NORBERTO BARRAZA ALMAZAN,HERMOSILLO,PRESIDENTE MUNICIPAL,NORBERTO BARRAZA ALMAZAN,Hombre,@barrazaalmazan,NorbertoBarrazaA
32,DAVID CUAUHTEMOC GALINDO DELGADO,NOGALES,PRESIDENTE MUNICIPAL,DAVID CUAUHTEMOC GALINDO DELGADO,HOMBRE,@TemoGalindo,
33,Por Sonora al Frente,NAVOJOA,PRESIDENTE MUNICIPAL,MARTIN RUY SANCHEZ TOLEDO,HOMBRE,@drruysanchez,MartinRuySanchezT
34,Todos por Sonora,NAVOJOA,PRESIDENTE MUNICIPAL,JORGE MARQUEZ,HOMBRE,@JORGEMARQUEZING,JorgeMarquez2014
